[2025-03-06 08:51:42.513] [info]  DiscordSplash.signalReady
[2025-03-06 08:51:43.999] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-03-06 08:51:44.000] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-03-06 08:51:44.003] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-03-06 08:51:44.003] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-03-06 08:51:44.006] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-03-06 08:51:44.007] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-03-06 08:51:44.011] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-03-06 08:51:44.012] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-03-06 08:51:44.013] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-03-06 08:51:44.013] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-03-06 08:51:44.032] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-03-06 08:51:44.033] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-03-06 08:51:44.046] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-03-06 08:51:44.047] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-03-06 08:51:44.051] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-03-06 08:51:44.051] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-03-06 08:51:44.054] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-03-06 08:51:44.054] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-03-06 08:51:44.058] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-03-06 08:51:44.059] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-03-06 08:51:44.064] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":57}
[2025-03-06 08:51:44.065] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":57}
[2025-03-06 08:51:44.070] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-03-06 08:51:44.071] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-03-06 08:51:44.073] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-03-06 08:51:44.074] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-03-06 08:51:44.078] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2025-03-06 08:51:44.079] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2025-03-06 08:51:44.086] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-03-06 08:51:44.086] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-03-06 08:51:44.089] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2025-03-06 08:51:44.090] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2025-03-06 08:51:44.090] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-03-06 08:51:44.091] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-03-06 08:51:44.097] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-03-06 08:51:44.098] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-03-06 08:51:44.101] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-03-06 08:51:44.101] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-03-06 08:51:44.102] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-03-06 08:51:44.103] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-03-06 08:51:44.125] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-03-06 08:51:44.125] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-03-06 08:51:44.130] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-03-06 08:51:44.131] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-03-06 08:51:44.134] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-03-06 08:51:44.134] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-03-06 08:51:44.137] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-03-06 08:51:44.138] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-03-06 08:51:44.140] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-03-06 08:51:44.141] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-03-06 08:51:44.155] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-03-06 08:51:44.156] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-03-06 08:51:44.159] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-03-06 08:51:44.159] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-03-06 08:51:44.166] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-03-06 08:51:44.166] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-03-06 08:51:44.167] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-03-06 08:51:44.167] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-03-06 08:51:44.169] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-03-06 08:51:44.170] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-03-06 08:51:44.173] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-03-06 08:51:44.173] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-03-06 08:51:44.178] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":91}
[2025-03-06 08:51:44.179] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":91}
[2025-03-06 08:51:44.183] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-03-06 08:51:44.184] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-03-06 08:51:44.189] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-03-06 08:51:44.189] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-03-06 08:51:44.201] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-03-06 08:51:44.202] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-03-06 08:51:44.221] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-03-06 08:51:44.222] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-03-06 08:51:44.222] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-03-06 08:51:44.223] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-03-06 08:51:44.513] [info]  Splash.updateCountdownSeconds: undefined
[2025-03-06 08:51:44.569] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-03-06 08:51:44.570] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-03-06 08:51:44.574] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-03-06 08:51:44.575] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-03-06 08:51:44.584] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-03-06 08:51:44.585] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-03-06 08:51:44.595] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-03-06 08:51:44.596] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-03-06 08:51:44.599] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":8}
[2025-03-06 08:51:44.600] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":8}
[2025-03-06 08:51:44.607] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-03-06 08:51:44.609] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-03-06 08:51:44.612] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":11}
[2025-03-06 08:51:44.613] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":11}
[2025-03-06 08:51:44.617] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":13}
[2025-03-06 08:51:44.617] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":13}
[2025-03-06 08:51:44.620] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":14}
[2025-03-06 08:51:44.621] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":14}
[2025-03-06 08:51:44.623] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2025-03-06 08:51:44.623] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2025-03-06 08:51:44.626] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":19}
[2025-03-06 08:51:44.627] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":19}
[2025-03-06 08:51:44.629] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":20}
[2025-03-06 08:51:44.629] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":20}
[2025-03-06 08:51:44.633] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":22}
[2025-03-06 08:51:44.634] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":22}
[2025-03-06 08:51:44.636] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":24}
[2025-03-06 08:51:44.637] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":24}
[2025-03-06 08:51:44.639] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-03-06 08:51:44.640] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-03-06 08:51:44.649] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":28}
[2025-03-06 08:51:44.650] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":28}
[2025-03-06 08:51:44.653] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":29}
[2025-03-06 08:51:44.653] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":29}
[2025-03-06 08:51:44.655] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":33}
[2025-03-06 08:51:44.656] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":33}
[2025-03-06 08:51:44.665] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":35}
[2025-03-06 08:51:44.666] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":35}
[2025-03-06 08:51:44.670] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":36}
[2025-03-06 08:51:44.670] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":36}
[2025-03-06 08:51:44.728] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":38}
[2025-03-06 08:51:44.729] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":38}
[2025-03-06 08:51:44.734] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":39}
[2025-03-06 08:51:44.735] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":39}
[2025-03-06 08:51:44.741] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2025-03-06 08:51:44.742] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2025-03-06 08:51:44.749] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":43}
[2025-03-06 08:51:44.750] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":43}
[2025-03-06 08:51:44.752] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":45}
[2025-03-06 08:51:44.753] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":45}
[2025-03-06 08:51:44.754] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":47}
[2025-03-06 08:51:44.755] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":47}
[2025-03-06 08:51:44.759] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2025-03-06 08:51:44.760] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2025-03-06 08:51:44.764] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2025-03-06 08:51:44.766] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2025-03-06 08:51:44.772] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":54}
[2025-03-06 08:51:44.773] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":54}
[2025-03-06 08:51:44.777] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2025-03-06 08:51:44.779] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2025-03-06 08:51:44.783] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2025-03-06 08:51:44.784] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2025-03-06 08:51:44.786] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":61}
[2025-03-06 08:51:44.787] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":61}
[2025-03-06 08:51:44.794] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":62}
[2025-03-06 08:51:44.795] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":62}
[2025-03-06 08:51:44.805] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":66}
[2025-03-06 08:51:44.806] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":66}
[2025-03-06 08:51:44.809] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":72}
[2025-03-06 08:51:44.810] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":72}
[2025-03-06 08:51:44.814] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":74}
[2025-03-06 08:51:44.815] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":74}
[2025-03-06 08:51:44.816] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":76}
[2025-03-06 08:51:44.817] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":76}
[2025-03-06 08:51:44.831] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":77}
[2025-03-06 08:51:44.832] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":77}
[2025-03-06 08:51:44.847] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":78}
[2025-03-06 08:51:44.848] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":78}
[2025-03-06 08:51:44.854] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2025-03-06 08:51:44.854] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2025-03-06 08:51:44.855] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":81}
